"Feature","Feature Type","feature subtype","Feature Description","Origin","Insertion","region","subregion","featurelocation","Bone/joint","Nerve","Joint","lateral margin","medial margin","floor","roof","apex","base","anterior margin"," posterior margin"
"Anterior sternoclavicular","Ligament","Articulating Surfaces","Sternal end of clavicle",,,"torso",,,,,,,,,,,,,
"Posterior sternoclavicular","Ligament","Articulating Surfaces","Manubrium of sternum and part of 1st costal cartilage",,,,,,,,,,,,,,,,
"Costoclavicular","Ligament","Articulating Surfaces","positioned laterally to the joint and links the proximal end of the clavicle to the first rib",,,,,,,,,,,,,,,,
"Interclavicular","Ligament","Articulating Surfaces","lins the ends of the clavicles together with the manubrium",,,,,,,,"Sternoclavicular",,,,,,,,
"Acromioclavicular","Ligament","Articulating Surfaces","Lateral aspect of clavicle (oval shaped facet)",,,,,,,,"Sternoclavicular",,,,,,,,
"Coracoclavicular ","Ligament","Articulating Surfaces","conoid ligament part of coracoclavicular ligament attaches to the conoid tubercle on the clavicle.  Is a strong accessory ligament for stabilising the AC joint","conoid tubercle","coracoid process",,,"conoid ligament","acromioclavicular joint",,"Sternoclavicular",,,,,,,,
"Coracoclavicular","Ligament","Articulating Surfaces","trapezoid ligament part of coracoclavicular ligament attaches to the trapezoid line on the clavicle.  Is a strong accessory ligament for stabilising AC joint","trapezoid line","coracoid process",,,"trapezoid ligament","acromioclavicular joint",,,,,,,,,,
"trapezoid line","Boney feature","line","line on surface of clavicle for attachment of trapezoid ligament",,,"torso",,,"clavicle",,,,,,,,,,
"Glenoid labrum","Ligament","Articulating Surfaces","Glenoid cavity of scapula",,,,,,,,"Sternoclavicular",,,,,,,,
"Glenohumeral","Ligament","Articulating Surfaces","thickening of the joint capsule",,,"upper limb","arm","superior",,,"Acromioclavicular",,,,,,,,
"Glenohumeral","Ligament","Articulating Surfaces","thickening of the joint capsule",,,"upper limb","arm","middle  ",,,"Acromioclavicular",,,,,,,,
"Glenohumeral","Ligament","Articulating Surfaces","thickening of the joint capsule",,,"upper limb","arm","inferior",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Coracohumeral","Ligament","Articulating Surfaces","ligament holding the head of the humerus to the glenoid cavity","glenoid fossa","humeral head","upper limb","arm",,"glenohumeral joint",,"Glenohumeral",,,,,,,,
"Transverse humeral","Ligament","Articulating Surfaces",,,,,,,,,"Glenohumeral",,,,,,,,
"Radial collateral
Ulnar collateral","Ligament","Articulating Surfaces","Trochlea of humerus with the trochlear fossa of the ulna
Capitulum of humerus with head of radius",,,,,,,,"Glenohumeral",,,,,,,,
"Capsule","Ligament","Articulating Surfaces","Head of radius with a 'sleeve', formed by radial notch of the ulna and the annular ligament",,,,,,,,"Glenohumeral",,,,,,,,
"Annular ligament","Ligament","Articulating Surfaces",,,,,,,,,"Glenohumeral",,,,,,,,
"Anterior","Ligament","Articulating Surfaces","Head of ulna to ulnar notch to radius and articular disk",,,,,,,,"Elbow",,,,,,,,
"Posterior","Ligament","Articulating Surfaces",,,,,,,,,"Proximal Radioulnar Joint",,,,,,,,
"Radial collateral ","Ligament","Articulating Surfaces","Distal end of radius and articular disks, with scaphiod, lunate and triquetrum",,,,,,,,"Proximal Radioulnar Joint",,,,,,,,
"Ulnar collateral","Ligament","Articulating Surfaces",,,,,,,,,"Distal Radioulnar",,,,,,,,
"Palmar radiocarpal","Ligament","Articulating Surfaces",,,,,,,,,,,,,,,,,
"dorsal radiocarpal","Ligament","Articulating Surfaces",,,,,,,,,"Radiocarpal",,,,,,,,
"Palmar ligament","Ligament","Articulating Surfaces","proximal row of carpal bones with distal row of carpal bones",,,,,,,,"Radiocarpal",,,,,,,,
"Dorsal Ligament","Ligament","Articulating Surfaces",,,,,,,,,"Radiocarpal",,,,,,,,
"interosseous ligament","Ligament","Articulating Surfaces",,,,,,,,,"Radiocarpal",,,,,,,,
"joint capsule","Ligament","Articulating Surfaces","Trapezium and base of 1st metacarpal",,,,,,,,"Midcarpal",,,,,,,,
"Collateral Ligaments","Ligament","Articulating Surfaces","Heads of metacarpals with bases of proximal phalanges",,,,,,,,"Midcarpal",,,,,,,,
"Collateral Ligaments","Ligament","Articulating Surfaces","Heads of metacarpals with bases of proximal phalanges",,,,,,,,"Midcarpal",,,,,,,,
"Palmar Ligaments","Ligament","Articulating Surfaces",,,,,,,,,"Carpometacarpal",,,,,,,,
"Collateral Ligaments","Ligament","Articulating Surfaces","heads of proximal phalanges 2-5 with bases of middle phalanges 2-5",,,,,,,,"Metacarpophalangeal 1",,,,,,,,
"Palmar Ligaments","Ligament","Articulating Surfaces",,,,,,,,,"Metacarpophalangeal 2-5",,,,,,,,
"Collateral Ligaments","Ligament","Articulating Surfaces","Heads of middle phalanges 2-5 with bases of distal phalanges 2-5",,,,,,,,"Metacarpophalangeal 2-4",,,,,,,,
"Palmar Ligaments","Ligament","Articulating Surfaces",,,,,,,,,"Proximal Interphalangeal ",,,,,,,,
"Collateral Ligaments","Ligament","Articulating Surfaces","Head of proximal phalanx of thumb, base of distal phalanx of thumb",,,,,,,,"Proximal Interphalangeal ",,,,,,,,
"Palmar Ligaments","Ligament","Articulating Surfaces",,,,,,,,,"Distal Interphalangeal",,,,,,,,
"Iliofemoral ligament","Ligament","Articulating Surfaces","head of femur with acetabulum of pelvis (lunate surface) deepened by acetabular labrum",,,,,,,,"Distal Interphalangeal",,,,,,,,
"Ischiofemoral ligament","Ligament","Articulating Surfaces",,,,,,,,,"Interphalangeal Joint of Thumb",,,,,,,,
"Pubofemoral ligament","Ligament","Articulating Surfaces",,,,,,,,,"Interphalangeal Joint of Thumb",,,,,,,,
"Acetabular labrum","Ligament","Articulating Surfaces",,,,,,,,,"hip",,,,,,,,
"Zona orbicularis (capsule fibres around neck)","Ligament","Articulating Surfaces",,,,,,,,,"hip",,,,,,,,
"Transverse acetabular ligament","Ligament","Articulating Surfaces",,,,,,,,,"hip",,,,,,,,
"Ligament of head of femur","Ligament","Articulating Surfaces",,,,,,,,,"hip",,,,,,,,
"Interosseous ligament ","Ligament","Articulating Surfaces","Auricular surface of ilium with auricular surface of sacrum",,,,,,,,"hip",,,,,,,,
"Anterior sacroiliac ligament","Ligament","Articulating Surfaces",,,,,,,,,"hip",,,,,,,,
"Posterior sacroiliac ligament","Ligament","Articulating Surfaces",,,,,,,,,"hip",,,,,,,,
"Sacrotuberous ligament","Ligament","Articulating Surfaces",,,,,,,,,"sacroiliac",,,,,,,,
"Sacrospinous ligament","Ligament","Articulating Surfaces",,,,,,,,,"sacroiliac",,,,,,,,
"Superior pubic","Ligament","Articulating Surfaces","Pubic bones (hyaline cartilage), symphyseal surfaces (fibrocartilage disc)",,,,,,,,"sacroiliac",,,,,,,,
"Inferior pubic","Ligament","Articulating Surfaces","Pubic bones (hyaline cartilage), symphyseal surfaces (fibrocartilage disc)",,,,,,,,"sacroiliac",,,,,,,,
"Ligamentum patellae","Ligament","Articulating Surfaces","Medial femoral condyle with medial tibial condyle Lateral femoral condyle with lateral tibial condyle
(lateral medial meniscus  - -transverse, coronary ligaments)",,,,,,,,"sacroiliac",,,,,,,,
"Tibial (medial) ","Ligament","Articulating Surfaces","Medial femoral condyle with medial tibial condyle Lateral femoral condyle with lateral tibial condyle
(lateral medial meniscus  - -transverse, coronary ligaments)",,,,,,,,"pubic symphysis",,,,,,,,
" fibular (lateral) collateral","Ligament","Articulating Surfaces","Medial femoral condyle with medial tibial condyle Lateral femoral condyle with lateral tibial condyle
(lateral medial meniscus  - -transverse, coronary ligaments)",,,,,,,,"pubic symphysis",,,,,,,,
"Oblique popliteal ","Ligament","Articulating Surfaces","Medial femoral condyle with medial tibial condyle Lateral femoral condyle with lateral tibial condyle
(lateral medial meniscus  - -transverse, coronary ligaments)",,,,,,,,"femorotibial",,,,,,,,
"arcuate popliteal","Ligament","Articulating Surfaces","Medial femoral condyle with medial tibial condyle Lateral femoral condyle with lateral tibial condyle
(lateral medial meniscus  - -transverse, coronary ligaments)",,,,,,,,"femorotibial",,,,,,,,
"anterior cruciate","Ligament","Articulating Surfaces","Medial femoral condyle with medial tibial condyle Lateral femoral condyle with lateral tibial condyle
(lateral medial meniscus  - -transverse, coronary ligaments)",,,,,,,,"femorotibial",,,,,,,,
"posterior cruciate","Ligament","Articulating Surfaces","Medial femoral condyle with medial tibial condyle Lateral femoral condyle with lateral tibial condyle
(lateral medial meniscus  - -transverse, coronary ligaments)",,,,,,,,"femorotibial",,,,,,,,
"patellar","Ligament","Articulating Surfaces","Patellar surface of femur with articular surface of patella",,,,,,,,"femorotibial",,,,,,,,
"Anterior","Ligament","Articulating Surfaces","Lateral condyle of tibia, inferior surface with Head of fibula, superomedial surface",,,,,,,,"femorotibial",,,,,,,,
"Posterior","Ligament","Articulating Surfaces",,,,,,,,,"femorotibial",,,,,,,,
"ligamentum nuchae","Ligament","Articulating Surfaces",,,,,,,,,"femoropatellar",,,,,,,,
"flexor retinaculum","Ligament","Articulating Surfaces",,,,,,,,,"superior tibio-patellar",,,,,,,,
"palmar aponeurosis","Ligament","Articulating Surfaces",,,,,,,,,,,,,,,,,
"supraspinous ","Ligament","Articulating Surfaces",,,,,,,,,,,,,,,,,
